Municipio;Cod_Municipio;Provincia;Cod_Provincia;Cod_INE;Población;Mancomunidades;Entidades Locales Menores;Comarca;Longitud;Latitud;CoordenadaX;CoordenadaY;Posición;presencia_de_comercio
CASTRONUÑO;45;VALLADOLID;47;47045;825;BAJO DUERO;;;-5.262498;41.390485;310841.6;4584576.18;41.39048499906404,-5.262498;0
CIGALES;50;VALLADOLID;47;47050;5299;BAJO PISUERGA,VALLADOLID Y ALFOZ;;;-4.699857;41.758128;358687.67;4624318.3;41.758127999062616,-4.699857;0
COGECES DE ÍSCAR;53;VALLADOLID;47;47053;142;ALVISAN,RIO ERESMA;;;-4.546162;41.406704;370765.99;4585060.12;41.40670399906397,-4.546162;0
CORRALES DE DUERO;56;VALLADOLID;47;47056;109;CAMPO DE PEÑAFIEL;;;-4.04931;41.670637;412651.39;4613740.28;41.67063699906294,-4.04931;0
CUBILLAS DE SANTA MARTA;57;VALLADOLID;47;47057;352;ARROYO DEL PONTÓN,BAJO PISUERGA;;;-4.613114;41.834422;366057.95;4632650.31;41.83442199906235,-4.613114;0
CUENCA DE CAMPOS;58;VALLADOLID;47;47058;208;ZONA NORTE DE VALLADOLID;;;-5.055907;42.057474;329884.17;4658202.48;42.05747399906158,-5.055907;0
CURIEL DE DUERO;59;VALLADOLID;47;47059;118;CAMPO DE PEÑAFIEL;;;-4.099193;41.639944;408455.43;4610384.38;41.63994399906306,-4.099193;0
EL CAMPILLO;31;VALLADOLID;47;47031;219;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA;;;-5.013082;41.25718;331351.89;4569261.23;41.25717999906459,-5.013082;0
ESGUEVILLAS DE ESGUEVA;61;VALLADOLID;47;47061;269;VALLE DEL ESGUEVA;;;-4.379978;41.751634;385268.89;4623121.15;41.75163399906265,-4.379978000000001;0
FUENSALDAÑA;66;VALLADOLID;47;47066;1996;BAJO PISUERGA,EL PORTILLEJO,VALLADOLID Y ALFOZ;;;-4.765417;41.707279;353121.48;4618782.3;41.707278999062815,-4.765417;0
FUENTE-OLMEDO;68;VALLADOLID;47;47068;34;LAS MURALLAS,RIO ERESMA;;;-4.647202;41.24473;361978.98;4567233.17;41.24472999906465,-4.647202;0
GALLEGOS DE HORNIJA;69;VALLADOLID;47;47069;111;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.097806;41.609545;325201.95;4608551.39;41.60954499906317,-5.0978059999999985;0
GATÓN DE CAMPOS;70;VALLADOLID;47;47070;27;ZONA NORTE DE VALLADOLID;;;-4.978973;42.050046;336231.25;4657227.51;42.050045999061595,-4.978972999999999;0
GERIA;71;VALLADOLID;47;47071;512;TOROZOS,VALLADOLID Y ALFOZ;;;-4.875663;41.579096;343639.19;4604744.27;41.57909599906329,-4.875663;0
HERRÍN DE CAMPOS;73;VALLADOLID;47;47073;119;ZONA NORTE DE VALLADOLID;;;-4.953451;42.123631;338530.2;4665349.58;42.12363099906136,-4.953451000000001;0
HORNILLOS DE ERESMA;74;VALLADOLID;47;47074;174;LAS MURALLAS,TIERRAS DEL ADAJA;;;-4.719939;41.366127;356151.1;4580829.07;41.366126999064136,-4.719939000000001;0
LA UNIÓN DE CAMPOS;176;VALLADOLID;47;47176;216;ZONA NORTE DE VALLADOLID;;;-5.324877;42.075949;307682.86;4660824.28;42.075948999061524,-5.324877;0
LLANO DE OLMEDO;79;VALLADOLID;47;47079;59;LAS MURALLAS,RIO ERESMA;;;-4.612954;41.268111;364896.95;4569775.16;41.26811099906456,-4.612954;0
MEDINA DE RIOSECO;86;VALLADOLID;47;47086;4550;CAMPOS GÓTICOS;;;-5.043182;41.883071;330475.11;4638812.32;41.88307099906218,-5.043182;0
MONASTERIO DE VEGA;91;VALLADOLID;47;47091;79;ZONA NORTE DE VALLADOLID;;;-5.180445;42.230913;320070.79;4677716.51;42.23091299906102,-5.180444999999999;0
MONTEALEGRE DE CAMPOS;92;VALLADOLID;47;47092;103;CAMPOS GÓTICOS;;;-4.898492;41.902443;342528.32;4640687.37;41.902442999062096,-4.898492;0
MONTEMAYOR DE PILILLA;93;VALLADOLID;47;47093;852;COMARCA DE LA CHURRERIA,PINODUERO;;;-4.458115;41.507564;378314.22;4596130.19;41.50756399906358,-4.458114999999999;0
MORAL DE LA REINA;94;VALLADOLID;47;47094;150;ZONA NORTE DE VALLADOLID;;;-5.067824;41.985616;328705.16;4650247.4;41.985615999061814,-5.067823999999999;0
MORALEJA DE LAS PANADERAS;95;VALLADOLID;47;47095;47;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA,TIERRAS DEL ADAJA;;;-4.825629;41.276581;347102.06;4571068.17;41.27658099906453,-4.825629000000002;0
MORALES DE CAMPOS;96;VALLADOLID;47;47096;141;CAMPOS GÓTICOS;;;-5.174475;41.859982;319516.05;4636516.4;41.859981999062256,-5.174475;0
MOTA DEL MARQUÉS;97;VALLADOLID;47;47097;349;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.178853;41.632507;318512.86;4611268.39;41.6325069990631,-5.178852999999999;0
MUCIENTES;98;VALLADOLID;47;47098;642;BAJO PISUERGA,EL PORTILLEJO,VALLADOLID Y ALFOZ;;;-4.760791;41.743862;353589.52;4622836.32;41.743861999062666,-4.760791000000001;0
NAVA DEL REY;101;VALLADOLID;47;47101;1968;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA,VEGA DEL DUERO;;;-5.081659;41.330492;325801.77;4577536.19;41.33049199906429,-5.081659000000001;0
OLIVARES DE DUERO;103;VALLADOLID;47;47103;313;PINODUERO,VALLE DEL ESGUEVA;;;-4.366923;41.638349;386154.71;4610526.2;41.63834899906306,-4.366923000000001;0
OLMEDO;104;VALLADOLID;47;47104;3574;LAS MURALLAS,TIERRAS DEL ADAJA;;;-4.684735;41.288881;358929.0;4572195.15;41.288880999064475,-4.684734999999999;0
PEDRAJAS DE SAN ESTEBAN;112;VALLADOLID;47;47112;3334;ALVISAN,RIO ERESMA;;;-4.583985;41.341869;367472.95;4577919.11;41.34186899906424,-4.583985;0
PESQUERA DE DUERO;116;VALLADOLID;47;47116;434;CAMPO DE PEÑAFIEL;;;-4.155937;41.641261;403731.5;4610592.36;41.64126099906306,-4.155936999999999;0
PIÑA DE ESGUEVA;117;VALLADOLID;47;47117;318;VALLE DEL ESGUEVA;;;-4.428181;41.729762;381220.89;4620758.17;41.72976199906273,-4.428181;0
PIÑEL DE ARRIBA;119;VALLADOLID;47;47119;92;CAMPO DE PEÑAFIEL;;;-4.12805;41.699443;406138.54;4617021.26;41.699442999062846,-4.12805;0
POLLOS;121;VALLADOLID;47;47121;611;BAJO DUERO;;;-5.125271;41.443478;322459.74;4590169.14;41.44347799906383,-5.125271;0
POZALDEZ;124;VALLADOLID;47;47124;473;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA;;;-4.846038;41.371983;345618.08;4581696.12;41.37198299906413,-4.846038;0
QUINTANILLA DEL MOLAR;128;VALLADOLID;47;47128;57;ZONA NORTE DE VALLADOLID;;;-5.44962;41.989635;297088.82;4651528.26;41.9896349990618,-5.449620000000001;0
ROTURAS;137;VALLADOLID;47;47137;29;;;;-4.11838;41.667032;406896.48;4613412.32;41.66703199906296,-4.118379999999999;0
RUBÍ DE BRACAMONTE;138;VALLADOLID;47;47138;215;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA;;;-4.924443;41.214452;338673.03;4564349.24;41.214451999064785,-4.924443;0
SAN CEBRIÁN DE MAZOTE;142;VALLADOLID;47;47142;122;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.147121;41.680875;321289.94;4616572.43;41.6808749990629,-5.147121;0
SAN MIGUEL DEL ARROYO;145;VALLADOLID;47;47145;658;COMARCA DE LA CHURRERIA,TIERRA DE PINARES;SANTIAGO DEL ARROYO;;-4.460903;41.442199;377958.97;4588877.18;41.442198999063834,-4.460903;0
SAN PELAYO;149;VALLADOLID;47;47149;48;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.034048;41.681384;330703.06;4616400.39;41.68138399906291,-5.034048;0
SAN SALVADOR;151;VALLADOLID;47;47151;24;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.088766;41.620959;325985.97;4609800.4;41.62095899906313,-5.088765999999999;0
SAN VICENTE DEL PALACIO;156;VALLADOLID;47;47156;160;TIERRAS DE MEDINA;;;-4.852086;41.218675;344749.06;4564686.21;41.21867499906477,-4.852086;0
SANTERVÁS DE CAMPOS;153;VALLADOLID;47;47153;110;ZONA NORTE DE VALLADOLID;;;-5.100967;42.21716;326591.9;4676024.56;42.21715999906106,-5.100967;0
SIMANCAS;161;VALLADOLID;47;47161;5315;TIERRAS DE VALLADOLID,TOROZOS,VALLADOLID Y ALFOZ;;;-4.827798;41.590468;347656.27;4605921.27;41.59046799906325,-4.8277980000000005;0
TORDEHUMOS;164;VALLADOLID;47;47164;406;CAMPOS GÓTICOS;;;-5.160723;41.813274;320527.03;4631301.42;41.813273999062424,-5.160723;0
TORRECILLA DE LA ABADESA;166;VALLADOLID;47;47166;270;BAJO DUERO;;;-5.08904;41.485726;325599.83;4594786.18;41.48572599906366,-5.08904;0
TORRECILLA DE LA ORDEN;167;VALLADOLID;47;47167;240;TIERRAS DE MEDINA;;;-5.222893;41.219535;313666.69;4565510.39;41.21953499906476,-5.222893;0
TRASPINEDO;173;VALLADOLID;47;47173;1149;COMARCA DE LA CHURRERIA,PINODUERO;;;-4.475919;41.582491;376970.5;4604474.19;41.58249099906327,-4.475919;0
TRIGUEROS DEL VALLE;174;VALLADOLID;47;47174;309;ARROYO DEL PONTÓN,BAJO PISUERGA;;;-4.651435;41.830167;362866.86;4632238.32;41.830166999062364,-4.651434999999999;0
VALBUENA DE DUERO;179;VALLADOLID;47;47179;436;CAMPO DE PEÑAFIEL;SAN BERNARDO;;-4.292685;41.642469;392344.66;4610888.24;41.642468999063055,-4.292685;0
VALLADOLID;186;VALLADOLID;47;47186;297775;TIERRAS DE VALLADOLID,VALLADOLID Y ALFOZ;;;-4.723349;41.652328;356499.5;4612610.28;41.65232799906302,-4.723348999999999;0
VALORIA LA BUENA;184;VALLADOLID;47;47184;678;BAJO PISUERGA;;;-4.530895;41.800538;372818.02;4628763.24;41.80053799906246,-4.530894999999999;0
VEGA DE RUIPONCE;187;VALLADOLID;47;47187;85;ZONA NORTE DE VALLADOLID;;;-5.112883;42.189383;325531.92;4672964.53;42.189382999061145,-5.112883;0
VELILLA;190;VALLADOLID;47;47190;115;TOROZOS,VEGA DEL DUERO;;;-5.005444;41.557855;332765.01;4602629.28;41.55785499906338,-5.005444;0
VELLIZA;191;VALLADOLID;47;47191;118;TOROZOS,VEGA DEL DUERO;;;-4.946624;41.578555;337722.09;4604815.29;41.57855499906329,-4.946624;0
VILLACARRALÓN;198;VALLADOLID;47;47198;72;ZONA NORTE DE VALLADOLID;;;-5.043635;42.190792;331254.0;4672981.57;42.19079199906115,-5.043634999999999;0
VILLACID DE CAMPOS;199;VALLADOLID;47;47199;81;ZONA NORTE DE VALLADOLID;;;-5.125034;42.081421;324230.06;4661001.45;42.08142099906149,-5.125034;0
VILLAFRECHÓS;205;VALLADOLID;47;47205;462;CAMPOS GÓTICOS;;;-5.218732;41.893601;315939.06;4640343.39;41.89360099906214,-5.218731999999999;0
VILLAGARCÍA DE CAMPOS;207;VALLADOLID;47;47207;282;CAMPOS GÓTICOS;;;-5.192977;41.780862;317756.0;4627770.45;41.78086199906253,-5.192977;0
VILLALAR DE LOS COMUNEROS;210;VALLADOLID;47;47210;473;BAJO DUERO;;;-5.137463;41.548974;321730.83;4601907.29;41.54897399906342,-5.137463;0
VILLALBA DE LA LOMA;211;VALLADOLID;47;47211;46;ZONA NORTE DE VALLADOLID;;;-5.19036;42.174231;319090.85;4671443.45;42.174230999061194,-5.19036;0
VILLALÓN DE CAMPOS;214;VALLADOLID;47;47214;1526;ZONA NORTE DE VALLADOLID;;;-5.034294;42.098539;331781.15;4662719.53;42.09853899906145,-5.034294000000001;0
VILLANUEVA DE DUERO;218;VALLADOLID;47;47218;1227;TIERRAS DE MEDINA,VALLADOLID Y ALFOZ,VEGA DEL DUERO;;;-4.871233;41.518245;343862.15;4597980.21;41.518244999063526,-4.871233;0
VILLAVELLID;227;VALLADOLID;47;47227;51;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.278865;41.694126;310362.84;4618325.45;41.694125999062855,-5.278864999999999;0
VILLAVERDE DE MEDINA;228;VALLADOLID;47;47228;518;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA;;;-5.02429;41.305828;330538.86;4574684.2;41.3058279990644,-5.02429;0
VILORIA;194;VALLADOLID;47;47194;348;COMARCA DE LA CHURRERIA,TIERRA DE PINARES;;;-4.382328;41.445504;384528.98;4589136.22;41.445503999063824,-4.382328;0
BEMBIBRE;14;LEÓN;24;24014;8455;CAPTACIÓN DE AGUAS BÁRCENA- BOEZA,RIBERA DEL BOEZA;ARLANZA,BEMBIBRE,LABANIEGO,LOSADA,RODANILLO,SAN ESTEBAN DEL TORAL,SAN ROMÁN DE BEMBIBRE,SANTIBAÑEZ DEL TORAL,VIÑALES;COMARCA DE EL BIERZO;-6.416706;42.615067;219763.73;4723730.99;42.615066999059906,-6.4167060000000005;0
BERCIANOS DEL PÁRAMO;17;LEÓN;24;24017;541;EL PÁRAMO;BERCIANOS DEL PÁRAMO,VILLAR DEL YERMO,ZUARES DEL PÁRAMO;;-5.704029;42.380566;277390.32;4695573.57;42.38056599906056,-5.704029;0
BERCIANOS DEL REAL CAMINO;18;LEÓN;24;24018;178;ZONA DE SAHAGUN;;;-5.14673;42.38714;323290.82;4694993.66;42.38713999906054,-5.146729999999999;0
BOÑAR;21;LEÓN;24;24021;1819;;ORONES,RUCAYO,VALDEHUESA;;-5.321774;42.865954;310341.23;4748544.3;42.865953999059265,-5.321773999999999;0
CABAÑAS RARAS;27;LEÓN;24;24027;1331;AGUA DEL BIERZO,BIERZO CENTRAL;CABAÑAS RARAS,CORTIGUERA;COMARCA DE EL BIERZO;-6.636463;42.619909;201760.58;4725020.88;42.619908999059895,-6.636463000000001;0
CABRILLANES;29;LEÓN;24;24029;731;;CABRILLANES,HUERGAS DE BABIA,LA CUETA,LA RIERA,LA VEGA DE LOS VIEJOS,LAGO DE BABIA,LAS MURIAS DE BABIA,MENA DE BABIA,MEROY,PEÑALBA DE LOS CILLEROS,PIEDRAFITA DE BABIA,QUINTANILLA DE BABIA,SAN FÉLIX DE ARCE,TORRE DE BABIA;;-6.149395;42.953056;243093.28;4760415.51;42.95305599905905,-6.149394999999999;0
CACABELOS;30;LEÓN;24;24030;4888;AGUA DEL BIERZO,BIERZO CENTRAL,MUNICIPAL PARA EL TRATAMIENTO DE LAS AGUAS RESIDUALES DEL BA;ARBORBUENA,PIEROS,QUILÓS,VILLABUENA-SAN CLEMENTE;COMARCA DE EL BIERZO;-6.725968;42.599569;194319.48;4723081.8;42.59956899905995,-6.725968;0
CALZADA DEL COTO;31;LEÓN;24;24031;217;ZONA DE SAHAGUN;CALZADA DEL COTO,CODORNILLOS;;-5.081194;42.38907;328690.88;4695073.65;42.38906999906054,-5.081194;0
CAMPAZAS;32;LEÓN;24;24032;113;SUR DE LEÓN (MANSURLE);;;-5.492976;42.141933;293990.52;4668543.24;42.14193299906129,-5.492976;0
CARRACEDELO;38;LEÓN;24;24038;3403;AGUA DEL BIERZO,BIERZO CENTRAL,MUNICIPAL PARA EL TRATAMIENTO DE LAS AGUAS RESIDUALES DEL BA;CARRACEDO DEL MONASTERIO,VILLADEPALOS,VILLAMARTÍN DE LA ABADÍA,VILLAVERDE DE LA ABADÍA;COMARCA DE EL BIERZO;-6.735003;42.551931;193344.45;4717823.74;42.55193099906008,-6.735003;0
CARROCERA;40;LEÓN;24;24040;452;OMAÑA-LUNA;BENLLERA,CARROCERA,CUEVAS DE VIÑAYO,OTERO DE LAS DUEÑAS,PIEDRASECHA,SANTIAGO DE LAS VILLAS,VIÑAYO;;-5.743484;42.79674;275640.74;4741894.38;42.796739999059426,-5.743484;0
CASTRILLO DE CABRERA;43;LEÓN;24;24043;108;CABRERA-VALDERIA;CASTRILLO DE CABRERA,MARRUBIO,NOCEDA DE CABRERA,NOGAR,ODOLLO,SACEDA;;-6.544534;42.339982;208000.35;4693612.59;42.3399819990607,-6.544534;0
CASTRILLO DE LA VALDUERNA;44;LEÓN;24;24044;149;LAS CUATRO RIBERAS;CASTRILLO DE LA VALDUERNA,VELILLA DE LA VALDUERNA;;-6.133771;42.323961;241776.89;4690503.61;42.32396099906073,-6.133770999999999;0
CASTROCONTRIGO;47;LEÓN;24;24047;720;;CASTROCONTRIGO,MORLA DE LA VALDERÍA,NOGAREJAS,PINILLA DE LA VALDERÍA,POBLADURA DE YUSO,TORNEROS DE LA VALDERÍA;;-6.191031;42.18237;236468.75;4674955.41;42.18236999906117,-6.191031000000001;0
CASTROPODAME;49;LEÓN;24;24049;1605;CAPTACIÓN DE AGUAS BÁRCENA- BOEZA,RIBERA DEL BOEZA;CALAMOCOS,CASTROPODAME,MATACHANA,SAN PEDRO CASTAÑERO,TURIENZO CASTAÑERO,VILLAVERDE DE LOS CESTOS,VILORIA;COMARCA DE EL BIERZO;-6.468144;42.579123;215380.68;4719910.94;42.57912299906,-6.468144;0
CEBANICO;52;LEÓN;24;24052;141;ALTO ESLA-CEA;CEBANICO,CORCOS,EL VALLE DE LAS CASAS,LA RIBA,MONDREGANES,QUINTANILLA DE ALMANZA,SANTA OLAJA DE LA ACCIÓN;;-5.023997;42.725275;334291.51;4732294.02;42.725274999059614,-5.023996999999999;0
CISTIERNA;56;LEÓN;24;24056;3038;ALTO ESLA-CEA;CISTIERNA,FUENTES DE PEÑACORADA,MODINO,OCEJO DE LA PEÑA,PESQUERA,QUINTANA DE LA PEÑA,SANTA OLAJA DE LA VARGA,SANTIBÁÑEZ DE RUEDA,SORRIBA DEL ESLA,VALMARTINO,VIDANES;;-5.124368;42.803152;326291.42;4741144.16;42.803151999059416,-5.1243680000000005;0
CRÉMENES;60;LEÓN;24;24060;522;MONTAÑA DE RIAÑO;ALEJE,ARGOVEJO,CIGUERA,CORNIERO,CRÉMENES,LA VELILLA DE VALDORÉ,LAS SALAS,LOIS,REMOLINA,SALAMÓN,VALBUENA DE ROBLO,VALDORÉ,VERDIAGO,VILLAYANDRE;;-5.144123;42.904089;324961.45;4752394.34;42.90408899905916,-5.144122999999999;0
EL BURGO RANERO;24;LEÓN;24;24024;725;ZONA DE SAHAGUN;CALZADILLA DE LOS HERMANILLOS,EL BURGO RANERO,LAS GRAÑERAS,VILLAMUÑIO;;-5.22087;42.42265;317290.77;4699093.69;42.42264999906044,-5.220870000000001;0
ESCOBAR DE CAMPOS;69;LEÓN;24;24069;33;ZONA DE SAHAGUN;;;-4.967052;42.312917;337890.99;4686393.63;42.31291699906077,-4.967051999999999;0
IZAGRE;84;LEÓN;24;24084;150;SUR DE LEÓN (MANSURLE);ALBIRES,IZAGRE,VALDEMORILLA;;-5.257511;42.223991;313690.69;4677113.44;42.22399099906104,-5.257510999999999;0
LUYEGO;91;LEÓN;24;24091;564;LA MARAGATERIA;LUYEGO DE SOMOZA,PRIARANZA DE LA VALDUERNA,QUINTANILLA DE SOMOZA,TABUYO DEL MONTE,VILLALIBRE DE SOMOZA,VILLAR DE GOLFER;;-6.236308;42.376635;233549.82;4696669.7;42.37663499906058,-6.236308;0
MATADEÓN DE LOS OTEROS;97;LEÓN;24;24097;229;SUR DE LEÓN (MANSURLE);FONTANIL DE LOS OTEROS,MATADEÓN DE LOS OTEROS,SAN PEDRO DE LOS OTEROS,SANTA MARÍA DE LOS OTEROS;;-5.369366;42.337725;304810.47;4689993.49;42.33772499906068,-5.369366;0
MATALLANA DE TORÍO;98;LEÓN;24;24098;1278;MONTAÑA CENTRAL;LA VALCUEVA,MATALLANA DE TORÍO,NAREDO DE FENAR,ORZONAGA,PARDAVÉ,ROBLEDO DE FENAR,ROBLES DE LA VALCUEVA,SERRILLA,VILLALFEIDE;;-5.520096;42.866262;294141.11;4749044.49;42.86626199905927,-5.520096000000001;0
OSEJA DE SAJAMBRE;106;LEÓN;24;24106;231;MONTAÑA DE RIAÑO;;;-5.038465;43.135642;334211.74;4777894.67;43.135641999058656,-5.038465;0
PALACIOS DE LA VALDUERNA;108;LEÓN;24;24108;373;LAS CUATRO RIBERAS;RIBAS DE LA VALDUERNA;;-5.938418;42.327787;257890.08;4690353.56;42.32778699906073,-5.938418000000001;0
POBLADURA DE PELAYO GARCIA;113;LEÓN;24;24113;388;EL PÁRAMO;;;-5.685669;42.305983;278640.26;4687243.44;42.30598299906079,-5.685669;0
PRADO DE LA GUZPEÑA;118;LEÓN;24;24118;99;ALTO ESLA-CEA;CEREZAL DE LA GUZPEÑA,LA LLAMA DE LA GUZPEÑA,PRADO DE LA GUZPEÑA,ROBLEDO DE GUZPEÑA;;-5.025284;42.783605;334341.56;4738774.09;42.78360499905947,-5.025283999999999;0
PRIORO;120;LEÓN;24;24120;337;MONTAÑA DE RIAÑO;PRIORO,TEJERINA;;-4.962127;42.893396;339791.7;4750844.23;42.8933959990592,-4.962127000000001;0
RIEGO DE LA VEGA;131;LEÓN;24;24131;708;LAS CUATRO RIBERAS;CASTROTIERRA DE LA VALDUERNA,RIEGO DE LA VEGA,SAN FÉLIX DE LA VEGA,TORAL DE FONDO,TORALINO DE LA VEGA,VILLARNERA DE LA VEGA;;-5.982322;42.388788;254510.08;4697253.68;42.38878799906055,-5.982322;0
SAN ADRIÁN DEL VALLE;141;LEÓN;24;24141;100;EL PÁRAMO;;;-5.727819;42.130013;274540.29;4667813.25;42.130012999061336,-5.727819;0
SANCEDO;143;LEÓN;24;24143;536;AGUA DEL BIERZO,BIERZO CENTRAL;CUETO,OCERO,SANCEDO;COMARCA DE EL BIERZO;-6.634707;42.666156;202125.6;4730150.91;42.666155999059775,-6.634706999999999;0
SANTA ELENA DE JAMUZ;154;LEÓN;24;24154;1029;LAS CUATRO RIBERAS;JIMÉNEZ DE JAMUZ,VILLANUEVA DE JAMUZ;;-5.888204;42.259454;261770.1;4682623.44;42.25945399906092,-5.888203999999999;0
SANTA MARÍA DE ORDÁS;158;LEÓN;24;24158;332;OMAÑA-LUNA;ADRADOS DE ORDÁS,CALLEJO DE ORDÁS,FORMIGONES,RIOCASTRILLO DE ORDÁS,SANTA MARÍA DE ORDÁS,SANTIBÁÑEZ DE ORDÁS,SELGA DE ORDÁS,VILLAPODAMBRE,VILLARRODRIGO DE ORDÁS;;-5.823676;42.726353;268820.54;4734294.23;42.726352999059614,-5.823676;0
SANTA MARÍA DEL PÁRAMO;157;LEÓN;24;24157;3109;EL PÁRAMO;;;-5.749249;42.353555;273570.26;4692693.54;42.35355499906064,-5.749249000000001;0
TORAL DE LOS GUZMANES;168;LEÓN;24;24168;508;SUR DE LEÓN (MANSURLE);;;-5.567303;42.244307;288190.32;4680093.32;42.244306999060974,-5.567303;0
TRABADELO;171;LEÓN;24;24171;336;BIERZO OESTE;MORAL DE VALCARCE,PARADA DE SOTO,PEREJE,PRADELA,SAN FIZ DO SEO,SOTELO,SOTOPARADA,TRABADELO,VILLAR DE LOS CORRALES;COMARCA DE EL BIERZO;-6.883079;42.650123;181686.44;4729276.68;42.65012299905981,-6.883079;0
VAL DE SAN LORENZO;185;LEÓN;24;24185;496;;LAGUNAS DE SOMOZA,VAL DE SAN LORENZO,VAL DE SAN ROMÁN;;-6.122684;42.417871;243073.96;4700898.76;42.41787099906044,-6.122684;0
VALDEPIÉLAGO;179;LEÓN;24;24179;309;;AVIADOS,CORRECILLAS,LA MATA DE LA BÉRBULA,MONTUERTO,NOCEDO DE CURUEÑO,OTERO DE CURUEÑO,RANEDO DE CURUEÑO,VALDEPIÉLAGO,VALDORRIA;;-5.398413;42.869327;304091.18;4749094.37;42.86932699905926,-5.398413000000001;0
VALLECILLO;191;LEÓN;24;24191;123;ZONA DE SAHAGUN;VALLECILLO DE LAS MATAS,VILLEZA;;-5.210621;42.355757;317940.71;4691643.6;42.35575699906063,-5.210621;0
VEGA DE VALCARCE;198;LEÓN;24;24198;578;BIERZO OESTE;AMBASMESTAS,ARGENTEIRO Y TREITA,EL CASTRO Y LABALLOS,HERRERÍAS,LA BRAÑA,LA FABA,LA LAGUNA Y CERNADA,LA PORTELA DE VALCARCE,LINDOSO,MOÑÓN,RANSINDE,RUITELÁN,SAMPRÓN,SAN JULIÁN,SAN TIRSO Y LAMAS,SOTOGAYOSO,VEGA DE VALCARCE,VILLASINDE;COMARCA DE EL BIERZO;-6.947233;42.665251;176505.39;4731200.68;42.665250999059765,-6.947233;0
VEGACERVERA;194;LEÓN;24;24194;262;MONTAÑA CENTRAL;COLADILLA,VALLE DE VEGACERVERA,VALPORQUERO DE TORÍO,VEGACERVERA,VILLAR DEL PUERTO;;-5.534916;42.884395;292991.13;4751094.55;42.884394999059225,-5.534915999999999;0
VEGAS DEL CONDADO;201;LEÓN;24;24201;1149;;CASTRILLO DEL CONDADO,CASTRO DEL CONDADO,CEREZALES DEL CONDADO,REPRESA DEL CONDADO,SAN CIPRIANO DEL CONDADO,SAN VICENTE DEL CONDADO,SANTA MARÍA DEL MONTE CONDADO,SECOS DEL CONDADO,VEGAS DEL CONDADO,VILLAFRUELA DEL CONDADO,VILLAMAYOR DEL CONDADO,VILLANUEVA DEL CONDADO;;-5.364936;42.68479;306250.98;4728523.96;42.68478999905972,-5.364936;0
VILLABLINO;202;LEÓN;24;24202;8226;;CABOALLES DE ABAJO,CABOALLES DE ARRIBA,EL VILLAR DE SANTIAGO,LLAMAS DE LACIANA,LUMAJO,ORALLO,RABANAL DE ABAJO,RABANAL DE ARRIBA,RIOSCURO,ROBLES DE LACIANA,SOSAS DE LACIANA,VILLAGER DE LACIANA,VILLASECA DE LACIANA;;-6.317;42.939834;229362.04;4759473.35;42.93983399905908,-6.317;0
VILLADEMOR DE LA VEGA;207;LEÓN;24;24207;299;SUR DE LEÓN (MANSURLE);;;-5.568969;42.270386;288140.31;4682993.36;42.27038599906089,-5.568968999999999;0
VILLAMANÍN;901;LEÓN;24;24901;912;ALTO BERNESGA,MONTAÑA CENTRAL;BARRIO DE LA TERCIA,BUSDONGO,CAMPLONGO,CASARES DE ARBAS,CUBILLAS DE ARBAS,FONTÚN DE LA TERCIA,GOLPEJAR DE LA TERCIA,MILLARO,PENDILLA,POLADURA DE LA TERCIA,RODIEZMO,SAN MARTÍN DE LA TERCIA,TONÍN,VELILLA DE LA TERCIA,VENTOSILLA,VIADANGOS DE ARBAS,VILLANUEVA DE LA TERCIA;;-5.655952;42.937028;283291.04;4757244.69;42.9370279990591,-5.655952;0
VILLAMARTÍIN DE DON SANCHO;213;LEÓN;24;24213;156;ZONA DE SAHAGUN;;;-5.061023;42.570625;330841.27;4715193.9;42.57062499906001,-5.061022999999999;0
VILLAMOL;215;LEÓN;24;24215;150;ZONA DE SAHAGUN;VILLACALABUEY,VILLAMOL,VILLAPECEÑIL;;-5.04907;42.428552;331440.97;4699393.67;42.428551999060424,-5.04907;0
VILLANUEVA DE LAS MANZANAS;218;LEÓN;24;24218;495;ESLA-BERNESGA;PALANQUINOS,RIEGO DEL MONTE,VILLACELAMA,VILLANUEVA DE LAS MANZANAS;;-5.480471;42.471355;296090.56;4705093.68;42.4713549990603,-5.480471;0
VILLAOBISPO DE OTERO;219;LEÓN;24;24219;515;LA CEPEDA;BRIMEDA,LA CARRERA,OTERO DE ESCARPIZO,SOPEÑA-CARNEROS,VILLAOBISPO DE OTERO;;-6.058563;42.499988;248679.08;4709825.88;42.499987999060224,-6.058563;0
