Municipio;Cod_Municipio;Provincia;Cod_Provincia;Cod_INE;Población;Mancomunidades;Entidades Locales Menores;Comarca;Longitud;Latitud;CoordenadaX;CoordenadaY;Posición;presencia_de_comercio
VILLARMENTERO DE ESGUEVA;224;VALLADOLID;47;47224;102;VALLE DEL ESGUEVA;;;-4.547158;41.685773;371237.77;4616045.21;41.68577299906289,-4.5471580000000005;0
VILLASEXMIR;225;VALLADOLID;47;47225;73;TOROZOS;;;-5.065278;41.638325;327989.01;4611681.4;41.638324999063066,-5.065277999999999;0
VILLAVAQUERÍN;226;VALLADOLID;47;47226;162;PINODUERO,VALLE DEL ESGUEVA;;;-4.462227;41.663152;378263.76;4613410.18;41.663151999062976,-4.462227;0
VILLAVICENCIO DE LOS CABALLEROS;229;VALLADOLID;47;47229;233;ZONA NORTE DE VALLADOLID;;;-5.237536;42.055911;314849.97;4658406.35;42.05591099906158,-5.237536;0
WAMBA;230;VALLADOLID;47;47230;307;TOROZOS,VALLADOLID Y ALFOZ;;;-4.917681;41.676224;340376.18;4615605.34;41.67622399906293,-4.917680999999999;0
ZARATÁN;231;VALLADOLID;47;47231;6249;TOROZOS,VALLADOLID Y ALFOZ;;;-4.782892;41.661516;351562.4;4613731.3;41.66151599906297,-4.782892;0
TUBILLA DEL AGUA;395;BURGOS;09;09395;142;PARAMOS Y VALLES;COVANERA,SAN FELICES DEL RUDRÓN,TABLADA DEL RUDRÓN;;-3.802365;42.708913;434292.47;4728802.92;42.70891299905964,-3.802365;0
VALLE DE TOBALINA;412;BURGOS;09;09412;901;COMARCA DEL EBRO-NELA;BARCINA DEL BARCO,BASCUÑUELOS,CUEZVA,GABANES,GAROÑA,HERRAN,LA ORDEN DE TOBALINA,LA PRADA,LA REVILLA DE HERRÁN,LAS VIADAS,LECIÑANA DE TOBALINA,LOMANA,LOZARES DE TOBALINA,MIJARALENGUA,MONTEJO DE CEBAS,MONTEJO DE SAN MIGUEL,ORBAÑANOS,PANGUSION,PEDROSA DE TOBALINA,QUINTANA MARIA,QUINTANA MARTIN GALINDEZ,RANEDO-PROMEDIANO,RUFRANCOS,SAN MARTÍN DE DON,SANTA MARÍA DE GAROÑA,SANTOCILDES,VALUJERA,VILLAESCUSA DE TOBALINA;;-3.271532;42.791907;477793.32;4737742.63;42.79190699905944,-3.271532;0
VALLE DE VALDELUCIO;415;BURGOS;09;09415;339;PEÑA AMAYA;CORRALEJO DE VALDELUCIO,ESCUDEROS DE VALDELUCIO,FUENCALIENTE DE VALDELUCIO,LA RIBA DE VALDELUCIO,LLANILLO DE VALDELUCIO,PAUL DE VALDELUCIO,PEDROSA DE VALDELUCIO,QUINTANAS DE VALDELUCIO,RENEDO DE LA ESCALERA,SOLANAS DE VALDELUCIO,VILLAESCOBEDO;;-4.120628;42.717861;408242.15;4730093.31;42.71786099905964,-4.120627999999999;0
VILLADIEGO;427;BURGOS;09;09427;1484;PEÑA AMAYA;ACEDILLO,ARENILLAS DE VILLADIEGO,BARRIOS DE VILLADIEGO,BOADA DE VILLADIEGO,BRULLES,BUSTILLO DEL PARAMO,CASTROMORCA,COCULINA,FUENCIVIL,HORMAZUELA,LOS VALCÁRCERES,MELGOSA DE VILLADIEGO,OLMOS DE LA PICAZA,PALAZUELOS DE VILLADIEGO,QUINTANILLA DE LA PRESA,RIOPARAÍSO,SANDOVAL DE LA REINA,TABLADA DE VILLADIEGO,TAPIA,VILLAHERNANDO,VILLAHIZÁN DE TREVIÑO,VILLALBILLA DE VILLADIEGO,VILLALIBADO,VILLANOÑO,VILLANUEVA DE ODRA,VILLANUEVA DE PUERTA,VILLAUTE,VILLAVEDÓN,VILLUSTO;;-4.009884;42.515812;417042.28;4707542.89;42.51581199906017,-4.0098840000000004;0
