Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
BU102|CONDADO_DE_TREVIÑO|2021-06-21|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
LE01|CARRACEDELO|2021-06-21|3.22|2.19|13.89|17.41|10.36|83.2|95.6|69.48|1.74|257.4|6.17|270.1|11.34
LE02|MANSILLA_MAYOR|2021-06-21|0.2|3.41|13.25|17.89|10.27|80.1|96.6|58.16|3.22|242.1|8.86|254.6|19.97
LE03|CUBILLAS_DE_LOS_OTEROS|2021-06-21|0.8|3.52|13.6|18.36|9.69|75.3|93.8|53.71|2.92|255.6|7.02|282.4|19.37
LE04|ZOTES_DEL_PÁRAMO|2021-06-21|0.1|3.59|13.55|18.13|9.39|74.7|94.8|55.62|3.59|273.0|7.84|306.2|20.39
LE05|QUINTANA_DEL_MARCO|2021-06-21|0.0|3.79|14.27|19.72|9.77|72.98|97.4|48.78|2.72|255.0|6.42|199.6|20.35
LE06|HOSPITAL_DE_ORBIGO|2021-06-21|1.21|3.34|12.85|17.28|9.87|79.0|96.2|61.12|2.48|256.8|7.17|293.1|20.99
LE07|BUSTILLO_DEL_PÁRAMO|2021-06-21|1.0|3.07|12.93|17.57|9.97|82.0|100.0|58.11|3.27|248.7|7.46|286.0|17.13
LE08|SAHAGÚN|2021-06-21|1.09|3.7|13.56|18.41|10.2|72.1|92.8|46.5|2.47|260.0|7.29|284.2|20.07
LE09|SANTAS_MARTAS|2021-06-21|1.38|3.5|12.95|17.46|9.59|77.1|93.2|55.99|4.35|255.0|9.45|260.1|19.16
P01|TORQUEMADA|2021-06-21|0.79|3.26|13.62|19.04|9.79|73.1|92.8|48.7|2.43|234.5|8.1|233.8|15.52
P02|VILLAMURIEL_DE_CERRATO|2021-06-21|1.24|3.22|14.23|19.5|10.99|74.1|95.1|50.17|2.09|253.3|6.72|212.7|16.03
P03|FUENTES_DE_NAVA|2021-06-21|2.8|3.52|13.87|19.37|10.4|76.9|95.6|53.45|2.17|243.3|7.12|245.5|19.78
P04|VILLOLDO|2021-06-21|2.0|3.27|13.64|18.67|10.27|78.7|99.6|52.41|2.8|254.5|6.85|243.0|17.06
P06|HERRERA_DE_PISUERGA|2021-06-21|0.62|2.89|12.06|16.36|9.05|78.5|95.3|59.03|3.1|241.6|10.97|272.6|16.03
P07|VILLALUENGA_DE_LA_VEGA|2021-06-21|5.45|2.46|12.1|16.3|9.76|82.3|94.0|60.12|1.65|268.7|6.66|319.4|13.06
P08|LANTADILLA|2021-06-21|0.98|3.4|13.41|17.84|10.74|76.1|93.3|49.58|3.02|257.2|8.89|299.3|17.11
P101|VILLAELES_DE_VALDAVIA|2021-06-21|1.57|3.11|11.98|17.32|9.57|79.85|93.3|56.0|2.9|79.58|4.66|87.8|16.67
SA01|CIUDAD_RODRIGO|2021-06-21|0.0|3.09|15.33|19.97|11.69|76.5|92.8|58.25|1.6|256.9|5.5|252.3|16.31
SA03|ALDEARRUBIA|2021-06-21|0.6|3.38|13.65|19.31|9.49|77.8|100.0|47.64|2.68|262.4|7.63|269.4|16.78
SA101|ARABAYONA|2021-06-21|0.98|3.1|12.97|18.93|9.0|71.52|90.0|42.49|0.84|201.3|1.57|259.8|17.72
SA102|EJEME|2021-06-21|1.38|3.21|13.25|18.58|9.07|76.9|94.1|50.62|2.37|54.11|6.39|23.76|16.26
SG01|GOMEZSERRACÍN|2021-06-21|3.38|3.15|13.0|18.71|6.91|79.3|99.6|48.89|1.94|226.4|6.97|247.8|16.82
