Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
AV01|NAVA_DE_ARÉVALO|2021-01-01|0.2|0.65|0.63|4.3|-2.5|93.2|100.0|71.9|4.45|279.7|8.6|266.1|7.65
AV101|MUÑOGALINDO|2021-01-01|0.2|0.57|-0.21|1.42|-1.89|86.9|99.1|74.84|5.86|105.5|12.69|114.1|7.95
BU02|VALLE_DE_VALDELUCIO|2021-01-01|0.61|0.59|-1.23|3.29|-4.37|88.5|99.9|59.76|2.17|299.0|9.22|288.0|5.5
BU03|LERMA|2021-01-01|0.81|0.45|0.42|5.3|-2.83|90.3|100.0|68.87|1.34|295.4|6.24|270.7|6.19
BU04|TARDAJOS|2021-01-01|0.6|0.52|-0.1|4.36|-3.14|89.0|97.4|69.68|2.0|292.5|8.86|261.1|5.66
BU05|VADOCONDES|2021-01-01|0.4|0.44|0.73|3.74|-1.83|96.8|100.0|80.1|2.67|266.9|7.58|244.3|5.27
BU07|SANTA_GADEA_DEL_CID|2021-01-01|0.6|0.7|2.59|6.58|0.05|82.6|95.1|62.99|2.34|287.9|9.23|326.1|5.93
BU101|VALLE_DE_LOSA|2021-01-01|1.42|0.41|1.06|4.19|-0.57|91.7|96.1|77.7|1.54|255.6|8.02|229.7|4.61
BU102|CONDADO_DE_TREVIÑO|2021-01-01|0.2|0.47|1.76|5.1|-0.73|87.1|96.5|62.6|1.11|0.19|8.0|0.19|5.43
LE01|CARRACEDELO|2021-01-01|0.41|0.6|2.86|6.17|-1.81|80.3|94.3|66.99|1.67|257.4|5.75|284.8|4.07
LE02|MANSILLA_MAYOR|2021-01-01|0.2|0.56|-0.28|4.95|-5.34|90.2|100.0|61.53|1.93|294.0|7.79|255.2|6.95
LE03|CUBILLAS_DE_LOS_OTEROS|2021-01-01|0.0|0.85|-0.02|5.45|-3.22|82.5|93.7|54.02|2.78|305.8|9.4|296.2|7.36
LE04|ZOTES_DEL_PÁRAMO|2021-01-01|0.0|0.74|0.23|4.81|-3.5|81.9|95.0|62.31|3.15|318.9|9.68|320.1|7.34
LE05|QUINTANA_DEL_MARCO|2021-01-01|0.0|0.73|0.83|6.36|-4.14|79.57|95.5|57.08|2.29|304.4|8.17|319.4|7.79
LE06|HOSPITAL_DE_ORBIGO|2021-01-01|0.0|0.64|0.56|3.81|-2.59|82.1|93.9|67.92|3.44|302.9|9.7|309.6|7.98
LE07|BUSTILLO_DEL_PÁRAMO|2021-01-01|0.0|0.71|-0.03|4.24|-4.49|88.1|100.0|62.76|3.61|293.2|9.3|268.5|6.9
LE08|SAHAGÚN|2021-01-01|0.2|0.63|-0.41|4.2|-3.44|82.1|98.2|60.67|2.2|305.9|7.92|286.5|5.89
LE09|SANTAS_MARTAS|2021-01-01|0.2|0.68|-0.83|4.39|-3.69|90.0|99.9|64.88|3.26|300.9|9.06|315.5|6.21
P01|TORQUEMADA|2021-01-01|0.0|0.72|0.3|4.33|-3.46|84.8|96.5|61.23|2.69|265.4|8.25|314.3|5.25
P02|VILLAMURIEL_DE_CERRATO|2021-01-01|0.21|0.73|0.6|5.74|-2.91|85.2|100.0|57.2|2.33|320.3|11.38|333.1|6.35
P03|FUENTES_DE_NAVA|2021-01-01|0.2|0.59|-0.34|5.5|-3.55|87.7|97.4|62.4|1.86|278.8|9.02|279.5|6.86
P04|VILLOLDO|2021-01-01|0.2|0.65|-0.3|4.48|-3.45|89.0|100.0|65.51|3.01|298.1|10.01|336.1|6.38
P06|HERRERA_DE_PISUERGA|2021-01-01|0.21|0.51|-2.57|1.73|-7.25|92.4|100.0|63.33|2.07|299.8|8.34|294.6|5.54
P07|VILLALUENGA_DE_LA_VEGA|2021-01-01|0.0|0.45|-0.16|3.48|-2.81|85.7|94.1|71.4|1.82|323.8|7.09|323.7|6.7
P08|LANTADILLA|2021-01-01|0.0|0.61|-0.07|3.5|-3.67|88.8|98.6|65.21|2.72|290.6|8.02|267.1|5.49
P101|VILLAELES_DE_VALDAVIA|2021-01-01|0.0|1.18|-1.14|2.81|-4.15|83.72|97.6|3.91|2.42|141.35|8.15|115.6|7.62
SA01|CIUDAD_RODRIGO|2021-01-01|0.0|1.03|2.36|6.29|-1.35|0.33|0.33|0.33|0.78|273.9|5.24|317.5|5.18
SA03|ALDEARRUBIA|2021-01-01|0.2|0.65|0.73|5.0|-2.9|91.3|100.0|65.86|2.86|288.5|7.93|287.8|8.36
SA101|ARABAYONA|2021-01-01|0.0|0.34|0.17|4.35|-2.62|86.6|95.6|61.73|0.57|245.3|1.5|263.4|8.68
SA102|EJEME|2021-01-01|0.2|0.59|1.04|5.89|-2.06|85.4|95.4|59.51|1.21|63.99|3.99|80.3|6.04
SG01|GOMEZSERRACÍN|2021-01-01|0.0|0.59|0.67|4.56|-2.28|90.4|100.0|69.12|2.43|273.4|8.05|333.5|5.38
SG02|NAVA_DE_LA_ASUNCIÓN|2021-01-01|0.0|0.23|0.15|3.64|-2.81|99.9|100.0|96.1|3.23|285.2|9.19|285.4|6.37
SO01|ALMAZÁN|2021-01-01|2.16|0.51|-0.14|2.12|-2.84|92.8|100.0|75.6|3.24|288.3|8.69|303.6|4.31
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-01-01|0.41|0.78|0.65|3.5|-1.71|81.3|90.0|67.56|3.71|277.5|8.97|279.6|4.95
SO03|FUENTECANTOS|2021-01-01|1.01|0.44|-1.33|1.83|-6.15|89.2|100.0|73.7|2.31|254.8|10.28|271.2|5.93
SO101|HINOJOSA_DEL_CAMPO|2021-01-01|2.0|0.44|-1.28|1.6|-6.0|91.9|100.0|77.5|2.79|306.3|10.94|277.6|4.88
VA01|MAYORGA|2021-01-01|0.0|0.64|0.16|5.88|-3.93|81.8|94.6|54.92|1.69|277.6|8.6|267.3|7.77
VA02|TORRECILLA_DE_LA_ORDEN|2021-01-01|0.2|0.8|0.8|5.04|-2.5|87.3|97.2|66.14|4.35|272.2|10.5|273.2|7.94
VA03|OLMEDO|2021-01-01|0.0|0.65|0.91|5.16|-2.43|86.3|100.0|67.23|2.94|267.2|8.52|263.1|7.53
VA05|ENCINAS_DE_ESGUEVA|2021-01-01|0.41|0.58|0.87|5.04|-3.67|82.5|94.4|62.21|1.66|256.2|6.95|281.3|6.4
VA06|TORDESILLAS|2021-01-01|0.0|0.66|1.52|6.24|-1.88|82.4|98.5|59.18|1.94|287.2|6.54|304.9|7.65
VA07|VALBUENA_DE_DUERO|2021-01-01|0.2|0.68|1.21|5.21|-2.03|80.9|92.0|62.83|2.11|296.9|7.54|296.8|6.05
VA08|MEDINA_DE_RIOSECO|2021-01-01|0.21|0.78|0.67|6.83|-3.4|84.3|96.5|51.77|2.04|273.2|8.56|327.8|8.13
VA102|MEDINA_DEL_CAMPO|2021-01-01|0.0|0.8|1.53|5.47|-1.33|80.8|95.3|61.59|3.29|102.8|7.58|107.5|8.48
VA103|RUEDA|2021-01-01|0.0|0.68|1.19|5.31|-1.61|85.7|100.0|63.31|2.9|258.6|7.45|218.0|8.87
VA104|VILLALÃ³N_DE_CAMPOS|2021-01-01|0.1|0.77|0.22|5.51|-3.8|89.7|100.0|64.07|3.43|289.0|9.95|280.5|5.62
ZA01|COLINAS_DE_TRASMONTE|2021-01-01|0.0|0.7|0.94|7.52|-5.04|76.5|98.3|49.27|1.61|311.8|8.17|292.7|8.44
ZA02|VILLARALBO|2021-01-01|0.0|0.64|0.95|6.22|-1.92|90.8|100.0|68.43|2.81|232.6|8.65|224.8|8.03
ZA04|VILLALPANDO|2021-01-01|0.0|0.86|0.25|6.9|-5.51|83.3|96.5|54.26|2.49|282.9|9.29|293.9|7.2
ZA05|POZUELO_DE_TÁBARA|2021-01-01|0.0|0.78|0.69|7.92|-5.2|74.7|94.4|46.66|1.63|288.7|6.4|324.2|8.28
ZA06|BARCIAL_DEL_BARCO|2021-01-01|0.0|0.68|1.79|7.58|-3.88|75.7|97.6|48.44|1.5|300.0|7.73|307.1|8.19
ZA08|TORO|2021-01-01|0.2|0.79|1.91|6.54|-0.94|83.5|97.9|60.38|2.94|271.6|8.12|263.0|8.88
AV01|NAVA_DE_ARÉVALO|2021-04-09|7.35|1.56|9.8|14.28|5.71|96.3|100.0|68.04|2.02|169.8|7.02|268.2|7.81
AV101|MUÑOGALINDO|2021-04-09|2.0|1.71|9.06|13.56|5.74|88.1|98.8|66.53|1.99|112.8|9.67|60.14|9.74
BU02|VALLE_DE_VALDELUCIO|2021-04-09|13.87|1.04|7.81|11.06|4.67|95.5|100.0|74.4|1.07|85.8|5.26|337.4|4.77
BU03|LERMA|2021-04-09|8.93|1.15|9.42|12.03|6.7|94.5|100.0|72.7|1.2|135.1|5.33|139.1|5.37
BU04|TARDAJOS|2021-04-09|8.64|1.48|8.79|11.98|6.49|92.5|97.5|73.1|1.72|80.5|6.22|204.5|9.07
BU05|VADOCONDES|2021-04-09|2.41|1.05|9.66|13.14|7.1|93.6|100.0|80.8|0.98|78.4|4.32|116.0|5.03
BU07|SANTA_GADEA_DEL_CID|2021-04-09|2.8|1.41|8.78|11.69|6.86|87.6|96.6|76.2|2.26|185.2|5.66|189.4|8.62
BU102|CONDADO_DE_TREVIÑO|2021-04-09|1.0|2.03|8.67|11.68|7.07|81.9|93.1|67.78|3.5|0.0|8.22|0.0|14.27
LE01|CARRACEDELO|2021-04-09|1.23|2.49|11.04|20.86|3.45|78.5|97.6|36.73|0.86|202.1|9.19|223.1|14.4
LE02|MANSILLA_MAYOR|2021-04-09|2.73|1.43|8.58|13.12|2.83|89.3|100.0|71.3|1.18|101.3|4.41|213.4|8.57
LE03|CUBILLAS_DE_LOS_OTEROS|2021-04-09|5.8|1.45|8.33|13.0|2.88|86.8|96.4|68.29|1.36|144.2|4.5|238.9|8.06
LE04|ZOTES_DEL_PÁRAMO|2021-04-09|2.08|1.48|8.3|13.41|2.72|87.7|97.1|71.7|1.58|209.7|4.91|202.0|8.65
LE05|QUINTANA_DEL_MARCO|2021-04-09|2.03|1.71|8.94|14.65|2.99|83.7|100.0|59.65|1.74|234.7|6.31|267.1|8.59
LE06|HOSPITAL_DE_ORBIGO|2021-04-09|0.2|2.12|9.19|14.59|3.95|78.5|93.8|51.55|1.73|15.93|5.97|193.1|11.89
LE07|BUSTILLO_DEL_PÁRAMO|2021-04-09|0.2|2.07|8.68|14.3|2.65|86.1|100.0|50.63|1.94|98.0|6.46|193.1|11.41
LE08|SAHAGÚN|2021-04-09|9.7|1.1|8.47|11.56|5.64|92.2|99.1|80.1|1.15|131.6|4.0|176.2|5.94
LE09|SANTAS_MARTAS|2021-04-09|6.11|1.13|8.38|11.53|4.52|90.8|97.7|82.9|1.99|123.0|4.79|165.0|6.41
P01|TORQUEMADA|2021-04-09|2.97|1.28|9.43|13.85|5.26|87.7|96.4|69.94|0.87|354.1|4.26|232.8|6.4
P02|VILLAMURIEL_DE_CERRATO|2021-04-09|1.85|1.26|10.07|13.77|6.86|92.0|100.0|73.9|0.92|120.4|4.45|190.0|6.63
P03|FUENTES_DE_NAVA|2021-04-09|0.4|1.3|8.51|13.15|3.64|89.8|97.6|74.3|0.75|291.1|4.28|257.5|7.6
P04|VILLOLDO|2021-04-09|4.6|1.13|8.17|12.35|4.15|97.9|100.0|81.0|1.2|92.7|4.86|261.9|6.41
P06|HERRERA_DE_PISUERGA|2021-04-09|5.54|1.19|7.39|12.64|3.8|91.4|99.2|69.71|1.12|18.96|7.06|155.3|5.79
P07|VILLALUENGA_DE_LA_VEGA|2021-04-09|7.27|1.08|9.18|13.05|5.15|91.7|97.3|77.4|0.74|272.4|4.01|190.8|5.15
P08|LANTADILLA|2021-04-09|0.0|1.31|8.55|13.72|5.36|91.3|98.4|68.49|1.14|351.1|6.77|189.6|6.56
P101|VILLAELES_DE_VALDAVIA|2021-04-09|7.84|1.01|6.59|10.58|1.32|91.1|97.6|78.44|1.45|118.5|3.27|91.5|4.87
SA01|CIUDAD_RODRIGO|2021-04-09|17.05|2.48|12.57|16.75|9.51|87.9|100.0|65.07|1.61|191.9|7.24|158.3|16.73
SA03|ALDEARRUBIA|2021-04-09|11.94|1.66|10.3|15.43|5.8|93.4|100.0|68.79|1.26|256.1|6.51|293.0|9.59
SA101|ARABAYONA|2021-04-09|0.0|1.67|9.89|14.36|6.85|84.5|93.9|62.32|0.61|178.0|1.31|295.0|10.23
SA102|EJEME|2021-04-09|9.06|2.49|10.42|16.71|6.29|85.7|98.3|57.57|1.69|47.79|6.85|54.52|16.22
SG01|GOMEZSERRACÍN|2021-04-09|2.79|1.53|9.27|13.74|5.9|95.8|100.0|71.2|1.5|161.7|7.48|264.7|9.01
SG02|NAVA_DE_LA_ASUNCIÓN|2021-04-09|5.84|1.62|9.48|15.02|6.24|97.1|100.0|65.63|1.55|174.8|7.43|254.3|8.6
SO01|ALMAZÁN|2021-04-09|4.02|1.28|7.3|10.79|5.18|85.9|97.2|67.89|2.15|155.7|5.74|208.7|5.56
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-04-09|3.08|1.21|8.81|12.66|5.31|90.7|100.0|74.7|1.23|113.4|5.56|72.7|6.31
SO03|FUENTECANTOS|2021-04-09|2.6|0.79|6.73|8.69|2.58|91.1|98.4|80.9|1.54|151.3|5.72|150.4|2.57
VA01|MAYORGA|2021-04-09|2.41|1.28|7.92|13.77|2.7|89.6|97.0|64.93|0.89|167.6|3.42|193.8|6.33
VA02|TORRECILLA_DE_LA_ORDEN|2021-04-09|3.22|1.85|10.58|15.57|6.97|86.3|96.7|63.33|1.51|233.3|6.89|276.2|10.24
VA03|OLMEDO|2021-04-09|6.4|1.51|10.49|14.0|7.35|89.9|100.0|73.5|1.83|160.4|6.34|157.0|8.51
VA05|ENCINAS_DE_ESGUEVA|2021-04-09|5.89|1.12|8.85|13.88|4.11|89.6|95.1|73.6|0.8|135.3|3.58|207.7|5.07
VA06|TORDESILLAS|2021-04-09|3.6|1.59|10.8|16.66|6.66|89.8|100.0|59.74|0.81|242.0|4.89|318.7|8.33
VA07|VALBUENA_DE_DUERO|2021-04-09|3.35|1.26|9.82|14.29|6.07|86.0|94.1|66.69|0.99|95.9|4.13|293.4|5.32
VA08|MEDINA_DE_RIOSECO|2021-04-09|1.23|1.38|8.65|14.1|3.34|92.2|99.3|71.8|0.87|245.1|4.64|230.9|8.06
VA102|MEDINA_DEL_CAMPO|2021-04-09|5.86|1.85|10.65|15.06|6.94|87.2|96.9|65.88|1.56|357.8|5.2|58.57|10.85
VA103|RUEDA|2021-04-09|4.3|1.71|11.01|14.86|8.61|89.7|99.1|62.48|1.38|184.3|6.3|227.3|9.12
VA104|VILLALÃ³N_DE_CAMPOS|2021-04-09|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ZA01|COLINAS_DE_TRASMONTE|2021-04-09|3.25|1.31|8.62|15.13|3.53|91.7|100.0|64.65|0.52|243.7|3.79|327.3|7.18
ZA02|VILLARALBO|2021-04-09|14.26|2.03|11.26|15.76|8.16|86.2|97.7|60.71|1.43|202.3|6.8|215.1|12.04
ZA04|VILLALPANDO|2021-04-09|5.2|1.39|8.57|14.17|3.63|91.8|97.9|69.15|0.99|252.2|4.77|256.1|7.68
ZA05|POZUELO_DE_TÁBARA|2021-04-09|2.1|1.58|9.55|15.22|4.81|86.4|96.9|62.61|0.93|236.3|4.17|212.9|8.75
ZA06|BARCIAL_DEL_BARCO|2021-04-09|4.92|1.4|9.72|15.75|4.76|90.2|98.9|64.26|0.67|210.5|3.92|186.8|7.41
ZA08|TORO|2021-04-09|0.0|1.97|11.01|16.5|7.02|88.4|98.1|60.93|1.33|307.9|6.26|248.5|11.39
AV01|NAVA_DE_ARÉVALO|2021-12-02|1.86|0.82|2.99|6.62|-0.72|86.4|91.8|66.42|2.8|302.7|6.91|321.8|5.99
AV101|MUÑOGALINDO|2021-12-02|1.1|0.65|2.01|3.53|0.49|87.6|97.0|76.34|4.26|122.4|9.8|108.6|2.73
BU02|VALLE_DE_VALDELUCIO|2021-12-02|15.3|0.61|1.37|3.28|-0.18|90.4|100.0|60.09|2.38|313.7|9.97|333.0|6.53
BU03|LERMA|2021-12-02|0.61|0.54|2.41|7.02|0.17|89.6|100.0|60.98|1.26|328.4|6.19|333.1|7.57
BU04|TARDAJOS|2021-12-02|1.41|0.59|2.44|5.82|0.2|86.9|97.6|69.0|1.98|335.1|10.67|39.86|5.38
BU05|VADOCONDES|2021-12-02|0.8|0.73|3.12|6.62|0.79|85.8|97.2|62.73|2.15|291.3|8.56|316.1|5.91
BU07|SANTA_GADEA_DEL_CID|2021-12-02|7.2|0.86|4.5|7.98|2.54|84.9|93.2|61.73|2.54|311.8|8.05|304.4|5.44
BU102|CONDADO_DE_TREVIÑO|2021-12-02|12.2|0.6|3.74|6.99|1.67|88.4|95.2|74.87|2.08|312.06|6.32|350.9|4.1
LE01|CARRACEDELO|2021-12-02|4.49|0.69|5.05|9.82|-0.09|83.2|99.6|61.23|1.54|266.9|5.93|312.7|5.87
LE02|MANSILLA_MAYOR|2021-12-02|0.78|0.67|3.06|8.93|-1.62|82.2|100.0|54.99|1.59|295.5|6.31|4.35|8.46
LE03|CUBILLAS_DE_LOS_OTEROS|2021-12-02|0.4|0.9|2.93|8.83|-0.9|81.1|95.9|52.41|2.27|315.6|7.68|331.8|8.56
LE04|ZOTES_DEL_PÁRAMO|2021-12-02|0.0|0.96|3.07|9.44|-1.61|78.0|94.3|49.11|2.17|337.6|8.11|349.9|8.62
LE05|QUINTANA_DEL_MARCO|2021-12-02|0.0|0.92|3.82|9.57|-1.81|75.25|94.5|49.67|2.02|319.4|6.84|32.11|8.13
LE06|HOSPITAL_DE_ORBIGO|2021-12-02|0.2|1.15|3.71|8.8|-0.63|75.1|93.1|50.08|3.07|293.6|7.44|337.1|7.04
LE07|BUSTILLO_DEL_PÁRAMO|2021-12-02|0.6|0.89|2.74|7.77|-3.02|84.7|100.0|56.52|2.84|311.0|9.29|1.42|6.96
LE08|SAHAGÚN|2021-12-02|0.17|0.81|3.27|7.8|0.19|78.2|95.5|52.67|2.18|316.8|7.23|324.1|8.98
LE09|SANTAS_MARTAS|2021-12-02|0.2|0.95|2.73|7.38|-0.62|80.1|92.5|57.15|3.17|312.8|7.64|323.8|8.46
P01|TORQUEMADA|2021-12-02|0.0|0.92|2.42|6.79|-1.92|82.3|94.6|50.4|2.28|318.3|7.98|4.65|5.74
P02|VILLAMURIEL_DE_CERRATO|2021-12-02|0.21|0.81|3.25|7.66|-0.71|82.4|99.8|53.59|2.15|344.2|8.44|0.19|7.69
P03|FUENTES_DE_NAVA|2021-12-02|0.0|0.53|2.81|9.51|-1.4|86.3|97.5|60.14|0.87|318.3|4.4|48.14|7.21
P04|VILLOLDO|2021-12-02|0.0|0.68|2.45|6.5|-1.16|88.9|100.0|60.45|2.0|343.4|7.66|40.48|6.11
P06|HERRERA_DE_PISUERGA|2021-12-02|0.41|0.67|-0.58|3.72|-3.59|89.6|100.0|50.12|1.89|349.5|10.0|0.76|6.73
P07|VILLALUENGA_DE_LA_VEGA|2021-12-02|0.2|0.68|2.44|7.41|-1.07|82.7|96.2|59.95|1.94|324.1|6.1|302.4|7.75
P08|LANTADILLA|2021-12-02|0.1|0.89|2.31|6.28|-0.49|83.8|95.9|49.21|2.39|334.0|8.29|39.99|6.93
P101|VILLAELES_DE_VALDAVIA|2021-12-02|0.2|0.7|1.19|5.27|-2.99|82.7|95.9|58.19|2.4|176.3|9.35|218.9|8.27
SA01|CIUDAD_RODRIGO|2021-12-02|0.4|0.75|5.43|10.02|-0.43|79.0|93.3|51.48|1.26|314.0|5.8|0.09|9.68
SA03|ALDEARRUBIA|2021-12-02|0.2|0.76|3.37|7.73|-3.36|83.7|100.0|58.48|1.94|7.92|6.53|69.62|7.36
SA101|ARABAYONA|2021-12-02|0.2|0.49|2.99|6.5|-1.2|81.0|93.3|61.7|0.83|285.6|1.74|309.4|8.53
SA102|EJEME|2021-12-02|0.2|0.78|3.88|7.67|-1.65|81.2|98.3|59.18|2.16|157.7|7.44|99.5|9.19
SG01|GOMEZSERRACÍN|2021-12-02|0.4|0.66|2.94|7.17|-2.56|91.7|100.0|63.11|1.95|326.7|7.74|353.5|8.3
SG02|NAVA_DE_LA_ASUNCIÓN|2021-12-02|1.19|0.39|2.41|6.51|-3.55|99.5|100.0|89.4|1.97|308.0|6.79|4.93|5.02
SO01|ALMAZÁN|2021-12-02|0.2|1.3|2.75|6.83|0.71|79.5|97.1|47.37|4.69|302.2|10.13|339.3|8.53
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-12-02|0.41|1.17|3.19|6.24|1.17|79.4|93.3|52.15|3.85|287.9|9.48|326.7|4.76
SO03|FUENTECANTOS|2021-12-02|0.8|0.74|1.61|4.31|0.18|81.8|98.2|64.98|3.26|303.2|11.59|352.8|4.87
SO101|HINOJOSA_DEL_CAMPO|2021-12-02|0.2|0.81|1.69|4.47|-0.41|83.9|100.0|59.09|3.31|318.3|10.95|335.9|5.53
VA01|MAYORGA|2021-12-02|0.0|0.6|2.9|8.72|-1.61|80.9|97.8|52.44|1.14|293.8|5.8|0.09|8.55
VA02|TORRECILLA_DE_LA_ORDEN|2021-12-02|0.2|1.01|3.27|7.76|-0.32|82.5|95.9|59.7|3.61|302.9|7.69|318.6|7.9
VA03|OLMEDO|2021-12-02|1.22|0.66|3.41|7.28|-0.83|89.2|100.0|63.55|1.81|301.5|6.77|298.5|7.03
VA05|ENCINAS_DE_ESGUEVA|2021-12-02|0.2|0.79|2.45|7.25|-3.53|79.8|90.2|51.42|1.58|296.0|7.33|51.42|5.84
VA06|TORDESILLAS|2021-12-02|0.8|0.67|3.86|9.11|-0.36|83.2|99.1|55.55|1.25|305.2|5.17|332.5|7.48
VA07|VALBUENA_DE_DUERO|2021-12-02|0.79|0.78|3.26|7.64|-1.57|75.5|87.0|49.36|1.48|323.3|5.99|18.74|7.48
VA08|MEDINA_DE_RIOSECO|2021-12-02|0.21|0.71|2.88|9.04|-1.18|85.2|99.4|53.44|1.43|301.7|5.13|349.0|7.66
VA101|FINCA_ZAMADUEÑAS|2021-12-02|0.2|0.67|3.07|7.35|-1.99|80.3|94.8|57.43|1.44|276.2|5.5|276.8|6.59
VA102|MEDINA_DEL_CAMPO|2021-12-02|0.81|0.88|4.22|7.91|0.67|80.2|94.7|60.85|2.67|131.5|6.55|129.5|7.29
VA103|RUEDA|2021-12-02|0.7|0.72|3.73|8.2|0.34|85.0|100.0|57.04|1.65|297.6|5.89|326.1|7.28
VA104|VILLALÃ³N_DE_CAMPOS|2021-12-02|0.0|0.92|3.35|8.31|-0.26|86.5|100.0|58.62|3.2|307.5|6.8|11.97|8.15
ZA01|COLINAS_DE_TRASMONTE|2021-12-02|0.0|0.88|4.14|9.86|-2.16|74.4|97.9|49.52|1.9|331.0|7.07|1.9|8.57
ZA02|VILLARALBO|2021-12-02|0.2|0.73|4.27|10.41|-0.78|80.6|99.2|49.74|1.31|260.0|5.33|0.38|9.61
ZA04|VILLALPANDO|2021-12-02|0.2|0.92|3.31|9.1|-1.17|82.6|98.8|55.05|2.44|310.7|8.28|353.1|7.76
ZA05|POZUELO_DE_TÁBARA|2021-12-02|0.0|0.86|4.0|10.3|-1.76|72.5|91.1|46.11|1.53|320.2|6.48|24.16|9.15
ZA06|BARCIAL_DEL_BARCO|2021-12-02|0.0|0.81|4.02|9.43|-1.24|75.9|94.4|52.27|1.75|331.6|6.43|343.6|8.75
ZA08|TORO|2021-12-02|0.41|1.01|4.91|9.62|1.13|77.6|96.4|53.05|2.5|305.1|6.82|331.3|8.23
AV01|NAVA_DE_ARÉVALO|2021-05-01|1.08|2.7|8.1|13.63|3.94|79.56|100.0|45.04|1.7|340.5|5.03|302.2|18.19
AV101|MUÑOGALINDO|2021-05-01|0.0|2.61|7.41|12.01|2.98|75.91|100.0|48.74|2.48|111.0|6.98|156.2|17.81
BU02|VALLE_DE_VALDELUCIO|2021-05-01|1.22|2.21|4.79|10.79|1.75|80.6|97.8|51.59|2.55|52.33|7.57|38.25|14.78
BU03|LERMA|2021-05-01|0.0|2.66|7.33|13.61|3.37|73.8|93.5|43.93|1.01|358.4|6.77|335.0|19.29
BU04|TARDAJOS|2021-05-01|0.0|2.51|6.45|11.37|3.28|78.7|91.4|54.12|2.06|47.9|6.47|304.7|18.37
BU05|VADOCONDES|2021-05-01|0.0|2.87|8.17|14.14|3.62|79.4|99.0|46.67|1.6|274.8|5.76|310.7|20.36
BU07|SANTA_GADEA_DEL_CID|2021-05-01|0.0|2.21|7.66|13.02|1.73|79.8|96.9|52.27|1.4|10.47|6.81|6.35|14.6
BU101|VALLE_DE_LOSA|2021-05-01|0.0|2.12|6.82|12.01|-0.24|85.2|96.8|67.46|1.09|249.1|7.05|235.9|16.5
BU102|CONDADO_DE_TREVIÑO|2021-05-01|0.0|2.62|7.28|12.73|2.06|77.95|96.2|52.64|1.33|95.32|3.68|77.88|20.16
LE01|CARRACEDELO|2021-05-01|0.0|3.33|9.63|16.28|2.92|62.62|90.2|34.94|1.34|282.3|5.82|289.7|22.83
LE02|MANSILLA_MAYOR|2021-05-01|2.15|2.96|7.7|13.18|4.7|78.4|97.8|43.93|1.41|331.8|6.63|25.33|22.27
LE03|CUBILLAS_DE_LOS_OTEROS|2021-05-01|13.0|2.59|7.56|12.73|4.87|76.2|94.2|43.91|1.46|356.4|6.29|253.0|17.66
LE04|ZOTES_DEL_PÁRAMO|2021-05-01|6.44|3.13|7.61|13.8|5.15|77.2|92.3|35.92|2.14|359.0|7.79|57.82|20.29
LE05|QUINTANA_DEL_MARCO|2021-05-01|3.25|2.76|8.0|13.61|4.37|79.55|99.9|40.33|1.64|344.4|6.48|32.6|18.53
LE06|HOSPITAL_DE_ORBIGO|2021-05-01|6.83|2.57|7.27|11.96|4.76|76.3|94.0|32.86|1.58|347.9|5.36|353.6|15.99
LE07|BUSTILLO_DEL_PÁRAMO|2021-05-01|13.53|2.55|7.21|12.43|4.71|79.3|98.6|46.76|1.76|252.7|6.54|3.32|17.59
LE08|SAHAGÚN|2021-05-01|5.45|2.66|7.04|12.35|4.07|76.2|94.9|42.37|1.28|69.21|6.83|102.3|19.29
LE09|SANTAS_MARTAS|2021-05-01|3.55|2.82|7.06|11.79|4.52|78.2|95.0|47.78|2.04|349.0|9.79|60.33|21.03
P01|TORQUEMADA|2021-05-01|0.99|2.43|7.02|11.32|4.07|77.2|92.9|51.99|2.24|40.14|6.39|286.6|16.62
P02|VILLAMURIEL_DE_CERRATO|2021-05-01|1.65|2.24|7.7|12.44|5.01|78.3|96.7|51.97|1.81|39.79|4.84|58.48|14.07
P03|FUENTES_DE_NAVA|2021-05-01|1.4|2.4|7.67|13.41|4.64|78.7|93.4|52.27|1.43|34.33|6.15|63.39|16.07
P04|VILLOLDO|2021-05-01|4.2|2.42|6.66|12.27|4.15|86.6|100.0|61.38|2.21|40.36|7.17|24.4|18.97
P06|HERRERA_DE_PISUERGA|2021-05-01|1.44|2.13|5.27|9.78|3.07|78.1|90.1|56.71|2.03|30.46|6.68|341.5|15.13
P07|VILLALUENGA_DE_LA_VEGA|2021-05-01|4.04|2.1|6.47|11.9|4.01|82.0|93.6|61.48|1.13|55.72|5.53|11.9|15.18
P08|LANTADILLA|2021-05-01|3.7|2.35|6.24|10.72|3.5|79.3|92.5|54.59|2.13|50.61|7.34|321.6|16.85
